risk_increase_A,risk_increase_B,prob_increase_A,prob_increase_B,risk_lower_A,risk_lower_B,prob_lower_A,prob_lower_B,assoc_A,assoc_B,explain,comments
Themaglin causes an increase in Rebosen,,,Efogen causes an increase in Pneuben,,Ceflar causes a decrease in Agoriv,Turilin causes a decrease in Laurem,,Denoden causes Flembers,,"The task was to state if there was a relationship between two things, and if one caused the other.",
Themaglin causes an increase in Rebosen,,,Efogen causes an increase in Pneuben,,"A third factor is causally related to Agoriv and Cellar, they are not directly related",,Laurem causes a decrease in Turilin,"A third factor is causally related to Denoden and Flembers, they are not directly related",,No idea ,
"A third factor is causally related to Themaglin and Rebosen, they are not directly related",,"A third factor is causally related to Pneuben and Efogen, they are not directly related",,,"A third factor is causally related to Agoriv and Cellar, they are not directly related",,"A third factor is causally related to Turilin and Laurem, they are not directly related","A third factor is causally related to Denoden and Flembers, they are not directly related",,causation,
,Rebosen causes an increase in Themaglin,Pneuben causes an increase in Efogen,,,Ceflar causes a decrease in Agoriv,,Laurem causes a decrease in Turilin,,Denoden causes Flembers,Interpret words that indicate if one thing leads to another. The study was about common English usage and science. ,
,"A third factor is causally related to Themaglin and Rebosen, they are not directly related",,Efogen causes an increase in Pneuben,Cellar causes a decrease in Agoriv,,,"A third factor is causally related to Turilin and Laurem, they are not directly related","A third factor is causally related to Denoden and Flembers, they are not directly related",,To determine if something causes something else,
Themaglin causes an increase in Rebosen,,Pneuben causes an increase in Efogen,,,Ceflar causes a decrease in Agoriv,Turilin causes a decrease in Laurem,,"A third factor is causally related to Denoden and Flembers, they are not directly related",,How does wording affect people's perception of cause and effect,
,"A third factor is causally related to Themaglin and Rebosen, they are not directly related","A third factor is causally related to Pneuben and Efogen, they are not directly related",,,"A third factor is causally related to Agoriv and Cellar, they are not directly related",,"A third factor is causally related to Turilin and Laurem, they are not directly related",,"A third factor is causally related to Denoden and Flembers, they are not directly related",My task was to identify the relationship between two things. I think this study was about Identifying correlation vs causation.,NA
Themaglin causes an increase in Rebosen,,Pneuben causes an increase in Efogen,,,"A third factor is causally related to Agoriv and Cellar, they are not directly related",,Laurem causes a decrease in Turilin,,"A third factor is causally related to Denoden and Flembers, they are not directly related",Determining relations,
,Rebosen causes an increase in Themaglin,,Pneuben causes an increase in Efogen,,Ceflar causes a decrease in Agoriv,Turilin causes a decrease in Laurem,,Flembers causes Denoden,,Comprehension ,
,Rebosen causes an increase in Themaglin,,"A third factor is causally related to Pneuben and Efogen, they are not directly related",,Agoriv causes a decrease in Ceflar,"A third factor is causally related to Turilin and Laurem, they are not directly related",,Denoden causes Flembers,,"How things are associated, or how cause and effect is seen",
,"A third factor is causally related to Themaglin and Rebosen, they are not directly related",Pneuben causes an increase in Efogen,,"A third factor is causally related to Agoriv and Ceflar, they are not directly related",,Turilin causes a decrease in Laurem,,Flembers causes Denoden,,to answer the relationship between two things,
Rebosen causes an increase in Themaglin,,,Efogen causes an increase in Pneuben,Agoriv causes a decrease in Ceflar,,,Laurem causes a decrease in Turilin,"A third factor is causally related to Denoden and Flembers, they are not directly related",,"I was supposed to decide how the two things were related to each other. Since they seemed like nonsense words, then I believe that it was about how easy the reader can comprehend the meaning of certain phrases?",
Themaglin causes an increase in Rebosen,,,Efogen causes an increase in Pneuben,Agoriv causes a decrease in Ceflar,,,Laurem causes a decrease in Turilin,"A third factor is causally related to Denoden and Flembers, they are not directly related",,How people view causation vs correlation ,
,Rebosen causes an increase in Themaglin,Pneuben causes an increase in Efogen,,,Ceflar causes a decrease in Agoriv,Turilin causes a decrease in Laurem,,,Flembers causes Denoden,Determine the meaning of sentence structure based on human perception,
,"A third factor is causally related to Themaglin and Rebosen, they are not directly related",,"A third factor is causally related to Pneuben and Efogen, they are not directly related",,"A third factor is causally related to Agoriv and Cellar, they are not directly related","A third factor is causally related to Turilin and Laurem, they are not directly related",,"A third factor is causally related to Denoden and Flembers, they are not directly related",,I have no idea ,
Themaglin causes an increase in Rebosen,,,Efogen causes an increase in Pneuben,,Ceflar causes a decrease in Agoriv,,Laurem causes a decrease in Turilin,,"A third factor is causally related to Denoden and Flembers, they are not directly related",Causation versus association,
,"A third factor is causally related to Themaglin and Rebosen, they are not directly related",,"A third factor is causally related to Pneuben and Efogen, they are not directly related","A third factor is causally related to Agoriv and Ceflar, they are not directly related",,,"A third factor is causally related to Turilin and Laurem, they are not directly related","A third factor is causally related to Denoden and Flembers, they are not directly related",,I was asked to describe if certain things were causes of other things. I think maybe this study is about how people read and interpret relationships between different things.,I have very little medical background which may have influenced my results?
,Rebosen causes an increase in Themaglin,Pneuben causes an increase in Efogen,,,Ceflar causes a decrease in Agoriv,,Laurem causes a decrease in Turilin,Denoden causes Flembers,,read a statement and pick correct choice below. causation,
,"A third factor is causally related to Themaglin and Rebosen, they are not directly related","A third factor is causally related to Pneuben and Efogen, they are not directly related",,,"A third factor is causally related to Agoriv and Cellar, they are not directly related",,"A third factor is causally related to Turilin and Laurem, they are not directly related",,Flembers causes Denoden,To find the relationship between two terms in a given question.,
Themaglin causes an increase in Rebosen,,Efogen causes an increase in Pneuben,,"A third factor is causally related to Agoriv and Ceflar, they are not directly related",,,"A third factor is causally related to Turilin and Laurem, they are not directly related","A third factor is causally related to Denoden and Flembers, they are not directly related",,I was being asked if A caused B or the other way round based on the given phrases. ,
,Rebosen causes an increase in Themaglin,,Efogen causes an increase in Pneuben,,Ceflar causes a decrease in Agoriv,,Laurem causes a decrease in Turilin,,"A third factor is causally related to Denoden and Flembers, they are not directly related",To determine what causes what. ,
"A third factor is causally related to Themaglin and Rebosen, they are not directly related",,,"A third factor is causally related to Pneuben and Efogen, they are not directly related",,"A third factor is causally related to Agoriv and Cellar, they are not directly related","A third factor is causally related to Turilin and Laurem, they are not directly related",,,Denoden causes Flembers,"How people understand language like ""associated with"" when it comes to drugs",
Themaglin causes an increase in Rebosen,,"A third factor is causally related to Pneuben and Efogen, they are not directly related",,,Agoriv causes a decrease in Ceflar,Turilin causes a decrease in Laurem,,"A third factor is causally related to Denoden and Flembers, they are not directly related",,Association between things,
Themaglin causes an increase in Rebosen,,,Efogen causes an increase in Pneuben,,Ceflar causes a decrease in Agoriv,,Laurem causes a decrease in Turilin,,"A third factor is causally related to Denoden and Flembers, they are not directly related",To determine causes and relationships between 2 things.,
,Rebosen causes an increase in Themaglin,,Efogen causes an increase in Pneuben,,Ceflar causes a decrease in Agoriv,,Laurem causes a decrease in Turilin,,Flembers causes Denoden,To see if you can read and answer the questions correctly to the corresponding correct answer,"No issues, everything was clear"
Themaglin causes an increase in Rebosen,,,Efogen causes an increase in Pneuben,,Ceflar causes a decrease in Agoriv,,Laurem causes a decrease in Turilin,,"A third factor is causally related to Denoden and Flembers, they are not directly related",Making associations based on sentence structure,
,Rebosen causes an increase in Themaglin,Pneuben causes an increase in Efogen,,Agoriv causes a decrease in Ceflar,,Turilin causes a decrease in Laurem,,,"A third factor is causally related to Denoden and Flembers, they are not directly related","To answer questions and decide what the correlation between two things was (the relationship between them). I think this study was given to understand how people perceive cause and effect, perhaps when it comes to health advice found on the internet?",
"A third factor is causally related to Themaglin and Rebosen, they are not directly related",,"A third factor is causally related to Pneuben and Efogen, they are not directly related",,,Ceflar causes a decrease in Agoriv,,"A third factor is causally related to Turilin and Laurem, they are not directly related","A third factor is causally related to Denoden and Flembers, they are not directly related",,Don’t know,None
Themaglin causes an increase in Rebosen,,Pneuben causes an increase in Efogen,,,Ceflar causes a decrease in Agoriv,Turilin causes a decrease in Laurem,,"A third factor is causally related to Denoden and Flembers, they are not directly related",,Association by proxy,
Themaglin causes an increase in Rebosen,,,Efogen causes an increase in Pneuben,,Ceflar causes a decrease in Agoriv,,Laurem causes a decrease in Turilin,"A third factor is causally related to Denoden and Flembers, they are not directly related",,To gauge the relationship between two things.,
Themaglin causes an increase in Rebosen,,Pneuben causes an increase in Efogen,,,Ceflar causes a decrease in Agoriv,,Laurem causes a decrease in Turilin,,"A third factor is causally related to Denoden and Flembers, they are not directly related",I had to pick what statement was more likely matched the sentence above it. I think the study wanted to see how people understood certain messages.,The instructions were clear and understandable.
,Rebosen causes an increase in Themaglin,Pneuben causes an increase in Efogen,,Agoriv causes a decrease in Ceflar,,"A third factor is causally related to Turilin and Laurem, they are not directly related",,Denoden causes Flembers,,To decide if compared things caused each other.,
,Rebosen causes an increase in Themaglin,,Efogen causes an increase in Pneuben,,Agoriv causes a decrease in Ceflar,Turilin causes a decrease in Laurem,,,"A third factor is causally related to Denoden and Flembers, they are not directly related",Understanding wording,
Rebosen causes an increase in Themaglin,,Pneuben causes an increase in Efogen,,,Ceflar causes a decrease in Agoriv,Turilin causes a decrease in Laurem,,,Denoden causes Flembers,determine if two things were causal,
,Rebosen causes an increase in Themaglin,Pneuben causes an increase in Efogen,,Agoriv causes a decrease in Ceflar,,Turilin causes a decrease in Laurem,,Denoden causes Flembers,,"To choose what caused what, which is associated with which",
,Rebosen causes an increase in Themaglin,,Efogen causes an increase in Pneuben,,Ceflar causes a decrease in Agoriv,,Laurem causes a decrease in Turilin,,"A third factor is causally related to Denoden and Flembers, they are not directly related",If things were caused or not by certain things.,
Themaglin causes an increase in Rebosen,,,Pneuben causes an increase in Efogen,,"A third factor is causally related to Agoriv and Cellar, they are not directly related","A third factor is causally related to Turilin and Laurem, they are not directly related",,,"A third factor is causally related to Denoden and Flembers, they are not directly related",I think it was to see if people think causation equals correlation,I liked the made up words :)
Themaglin causes an increase in Rebosen,,,Efogen causes an increase in Pneuben,Agoriv causes a decrease in Ceflar,,,Laurem causes a decrease in Turilin,Denoden causes Flembers,,To determine how one thing relates to/causes another thing,
Rebosen causes an increase in Themaglin,,Efogen causes an increase in Pneuben,,,Agoriv causes a decrease in Ceflar,Laurem causes a decrease in Turilin,,,"A third factor is causally related to Denoden and Flembers, they are not directly related",This study asked me to report how I interpreted causal relationships between unfamiliar words.,
,Rebosen causes an increase in Themaglin,,Efogen causes an increase in Pneuben,,"A third factor is causally related to Agoriv and Cellar, they are not directly related",Turilin causes a decrease in Laurem,,"A third factor is causally related to Denoden and Flembers, they are not directly related",,My task was to determine which of 3 things is more likely to me. I think it was just about how people think and make connections with wording.,N/A
,"A third factor is causally related to Themaglin and Rebosen, they are not directly related","A third factor is causally related to Pneuben and Efogen, they are not directly related",,,"A third factor is causally related to Agoriv and Cellar, they are not directly related","A third factor is causally related to Turilin and Laurem, they are not directly related",,"A third factor is causally related to Denoden and Flembers, they are not directly related",,"Determine if one factor directly caused the other, or was not directly affected. Study perceptions of associative statements on whether there is causation. ",
Themaglin causes an increase in Rebosen,,Pneuben causes an increase in Efogen,,Agoriv causes a decrease in Ceflar,,Turilin causes a decrease in Laurem,,Flembers causes Denoden,,To interpret meaning of phrases. Study possibly about reading comprehension?,
Themaglin causes an increase in Rebosen,,Pneuben causes an increase in Efogen,,Agoriv causes a decrease in Ceflar,,Turilin causes a decrease in Laurem,,"A third factor is causally related to Denoden and Flembers, they are not directly related",,Determining whether things are causally related. ,"It's impossible to know any of these without more study. Correlation does not mean causation, and all that. "
Themaglin causes an increase in Rebosen,,,Efogen causes an increase in Pneuben,,Ceflar causes a decrease in Agoriv,Turilin causes a decrease in Laurem,,,Flembers causes Denoden,Being asked abour correlation vs causation.,Keep it up Hahvahd! -from a Bostonian who misses home
,"A third factor is causally related to Themaglin and Rebosen, they are not directly related",,"A third factor is causally related to Pneuben and Efogen, they are not directly related","A third factor is causally related to Agoriv and Ceflar, they are not directly related",,,"A third factor is causally related to Turilin and Laurem, they are not directly related",,"A third factor is causally related to Denoden and Flembers, they are not directly related",I am unsure ,
,Rebosen causes an increase in Themaglin,,Efogen causes an increase in Pneuben,,Ceflar causes a decrease in Agoriv,,Laurem causes a decrease in Turilin,,Flembers causes Denoden,elationship between 2 things,
Themaglin causes an increase in Rebosen,,,Efogen causes an increase in Pneuben,,Ceflar causes a decrease in Agoriv,,Laurem causes a decrease in Turilin,"A third factor is causally related to Denoden and Flembers, they are not directly related",,I determined what I thought statements meant (correlation vs causation),
,Themaglin causes an increase in Rebosen,Efogen causes an increase in Pneuben,,"A third factor is causally related to Agoriv and Ceflar, they are not directly related",,Turilin causes a decrease in Laurem,,Flembers causes Denoden,,Making assumptions based on two ideas and whether they are associated with one another based off of the context of the sentence provided.,
"A third factor is causally related to Themaglin and Rebosen, they are not directly related",,,Pneuben causes an increase in Efogen,,Agoriv causes a decrease in Ceflar,Turilin causes a decrease in Laurem,,Denoden causes Flembers,,To see different medications interact together by hearing their name,
,Rebosen causes an increase in Themaglin,Pneuben causes an increase in Efogen,,Agoriv causes a decrease in Ceflar,,,Laurem causes a decrease in Turilin,"A third factor is causally related to Denoden and Flembers, they are not directly related",,to see how phrasing certain things in certain ways can influence how we interpret their relationship ,
Themaglin causes an increase in Rebosen,,Pneuben causes an increase in Efogen,,,Ceflar causes a decrease in Agoriv,,Laurem causes a decrease in Turilin,,Flembers causes Denoden,"Choosing the best option of how we interpreted something, I am not sure what the study was testing though.",n/a
,"A third factor is causally related to Themaglin and Rebosen, they are not directly related","A third factor is causally related to Pneuben and Efogen, they are not directly related",,,"A third factor is causally related to Agoriv and Cellar, they are not directly related","A third factor is causally related to Turilin and Laurem, they are not directly related",,"A third factor is causally related to Denoden and Flembers, they are not directly related",,my task was to determine if something caused something else based on a vague description. I think you were testing to see if people automatically assume that two things are directly related to each other just because they both occur at the same time (which isn't true),
"A third factor is causally related to Themaglin and Rebosen, they are not directly related",,,"A third factor is causally related to Pneuben and Efogen, they are not directly related",Agoriv causes a decrease in Ceflar,,"A third factor is causally related to Turilin and Laurem, they are not directly related",,,"A third factor is causally related to Denoden and Flembers, they are not directly related",task was to say if things were caused by one another or casually related,
Themaglin causes an increase in Rebosen,,Pneuben causes an increase in Efogen,,Agoriv causes a decrease in Ceflar,,,Laurem causes a decrease in Turilin,,"A third factor is causally related to Denoden and Flembers, they are not directly related",Understanding correlation vs causation,
Themaglin causes an increase in Rebosen,,Pneuben causes an increase in Efogen,,Agoriv causes a decrease in Ceflar,,,Laurem causes a decrease in Turilin,,Flembers causes Denoden,deciding associations,
Themaglin causes an increase in Rebosen,,Pneuben causes an increase in Efogen,,Agoriv causes a decrease in Ceflar,,Turilin causes a decrease in Laurem,,,"A third factor is causally related to Denoden and Flembers, they are not directly related","to say if two words relate/ how they relate, to gage different meanings from the way the question was worded",
,"A third factor is causally related to Themaglin and Rebosen, they are not directly related","A third factor is causally related to Pneuben and Efogen, they are not directly related",,"A third factor is causally related to Agoriv and Ceflar, they are not directly related",,,"A third factor is causally related to Turilin and Laurem, they are not directly related","A third factor is causally related to Denoden and Flembers, they are not directly related",,Correlation v causation. ,
,Rebosen causes an increase in Themaglin,,Efogen causes an increase in Pneuben,Agoriv causes a decrease in Ceflar,,,"A third factor is causally related to Turilin and Laurem, they are not directly related",,Flembers causes Denoden,"Based on the wording, see the association between the subjects.",
,Rebosen causes an increase in Themaglin,,Efogen causes an increase in Pneuben,,Ceflar causes a decrease in Agoriv,Turilin causes a decrease in Laurem,,,"A third factor is causally related to Denoden and Flembers, they are not directly related",The task was to evaluate causal relationships and to identify which ones most accurately described information in the original sentences.,That was interesting. Thank you!
Rebosen causes an increase in Themaglin,,Pneuben causes an increase in Efogen,,,Ceflar causes a decrease in Agoriv,,"A third factor is causally related to Turilin and Laurem, they are not directly related",Flembers causes Denoden,,Answer which sickness caused the other sickness? I think it was testing our reading abilities?,Thank you for the study!
,"A third factor is causally related to Themaglin and Rebosen, they are not directly related",,"A third factor is causally related to Pneuben and Efogen, they are not directly related","A third factor is causally related to Agoriv and Ceflar, they are not directly related",,"A third factor is causally related to Turilin and Laurem, they are not directly related",,"A third factor is causally related to Denoden and Flembers, they are not directly related",,"To determine whether one thing directly causes another, or if there is another factor. The purpose to explore how people think about causal or correlative relationships",
,Themaglin causes an increase in Rebosen,Efogen causes an increase in Pneuben,,Cellar causes a decrease in Agoriv,,Turilin causes a decrease in Laurem,,,Flembers causes Denoden,If wording implies causation,
,Rebosen causes an increase in Themaglin,,Efogen causes an increase in Pneuben,Agoriv causes a decrease in Ceflar,,,Laurem causes a decrease in Turilin,,"A third factor is causally related to Denoden and Flembers, they are not directly related",My task was to identify whether 2 factors cause or dont cause each other. I think the study tests our comprehension ability,
,Rebosen causes an increase in Themaglin,,Efogen causes an increase in Pneuben,,Ceflar causes a decrease in Agoriv,Turilin causes a decrease in Laurem,,,Denoden causes Flembers,To determine if one thing causes another.,
,Rebosen causes an increase in Themaglin,,Efogen causes an increase in Pneuben,Agoriv causes a decrease in Ceflar,,Turilin causes a decrease in Laurem,,Flembers causes Denoden,,To assess the relationship between two different things.  Perhaps it has to do with how an individual perceives causality based on how something is worded?,
Themaglin causes an increase in Rebosen,,Pneuben causes an increase in Efogen,,Agoriv causes a decrease in Ceflar,,Laurem causes a decrease in Turilin,,,Denoden causes Flembers,To see if you can understand cause and effect words,
,"A third factor is causally related to Themaglin and Rebosen, they are not directly related",,Efogen causes an increase in Pneuben,,Ceflar causes a decrease in Agoriv,Turilin causes a decrease in Laurem,,,"A third factor is causally related to Denoden and Flembers, they are not directly related","rate if i think X increased Y, if X decreased Y, or if they were unrelated",
,Rebosen causes an increase in Themaglin,Pneuben causes an increase in Efogen,,,Ceflar causes a decrease in Agoriv,Turilin causes a decrease in Laurem,,,"A third factor is causally related to Denoden and Flembers, they are not directly related",To identify if one thing caused another ,
Themaglin causes an increase in Rebosen,,,Efogen causes an increase in Pneuben,,Ceflar causes a decrease in Agoriv,,Laurem causes a decrease in Turilin,Denoden causes Flembers,,Understand the sentences,
Themaglin causes an increase in Rebosen,,,Efogen causes an increase in Pneuben,Agoriv causes a decrease in Ceflar,,"A third factor is causally related to Turilin and Laurem, they are not directly related",,,"A third factor is causally related to Denoden and Flembers, they are not directly related",infer causality from vague statements,
Themaglin causes an increase in Rebosen,,Pneuben causes an increase in Efogen,,Agoriv causes a decrease in Ceflar,,,Laurem causes a decrease in Turilin,"A third factor is causally related to Denoden and Flembers, they are not directly related",,I think this study was about judging how people view things being related,
Themaglin causes an increase in Rebosen,,,Efogen causes an increase in Pneuben,,Ceflar causes a decrease in Agoriv,Turilin causes a decrease in Laurem,,Denoden causes Flembers,,My task was to determine if there was a connection between two things (x causes y. Or not). I think the study was to see if we would take the sentences at face value or be cynical and blame a third unknown element. ,
Themaglin causes an increase in Rebosen,,,Efogen causes an increase in Pneuben,,Ceflar causes a decrease in Agoriv,"A third factor is causally related to Turilin and Laurem, they are not directly related",,Denoden causes Flembers,,About what causes certain things to happen or possibly happen,
Themaglin causes an increase in Rebosen,,Pneuben causes an increase in Efogen,,Agoriv causes a decrease in Ceflar,,Turilin causes a decrease in Laurem,,,Flembers causes Denoden,My task in this study was to determine how two things were related to each other. I think the study is about perception of phrases.,The statements reminded me of warnings that come at the end of pharmaceutical commercials.
,Rebosen causes an increase in Themaglin,,Efogen causes an increase in Pneuben,,Ceflar causes a decrease in Agoriv,"A third factor is causally related to Turilin and Laurem, they are not directly related",,,Flembers causes Denoden,Determining causation and or correlation based on verbiage ,
Themaglin causes an increase in Rebosen,,,Pneuben causes an increase in Efogen,Agoriv causes a decrease in Ceflar,,Turilin causes a decrease in Laurem,,,"A third factor is causally related to Denoden and Flembers, they are not directly related",Cigarettes and cancer,
Themaglin causes an increase in Rebosen,,Pneuben causes an increase in Efogen,,Agoriv causes a decrease in Ceflar,,,Laurem causes a decrease in Turilin,"A third factor is causally related to Denoden and Flembers, they are not directly related",,Reading comprehension ,
Themaglin causes an increase in Rebosen,,Pneuben causes an increase in Efogen,,Agoriv causes a decrease in Ceflar,,,Laurem causes a decrease in Turilin,"A third factor is causally related to Denoden and Flembers, they are not directly related",,To show how things are related to each other.,
,Rebosen causes an increase in Themaglin,Pneuben causes an increase in Efogen,,"A third factor is causally related to Agoriv and Ceflar, they are not directly related",,,"A third factor is causally related to Turilin and Laurem, they are not directly related",Denoden causes Flembers,,To say what phrases make it sound like something causes another or not.,Nothing to add.
Themaglin causes an increase in Rebosen,,,"A third factor is causally related to Pneuben and Efogen, they are not directly related",,Ceflar causes a decrease in Agoriv,,"A third factor is causally related to Turilin and Laurem, they are not directly related",Flembers causes Denoden,,How people perceive associations through wording.,
Themaglin causes an increase in Rebosen,,Pneuben causes an increase in Efogen,,Agoriv causes a decrease in Ceflar,,Turilin causes a decrease in Laurem,,,Flembers causes Denoden,Identify probability of associations.,
,Rebosen causes an increase in Themaglin,,Efogen causes an increase in Pneuben,Agoriv causes a decrease in Ceflar,,Turilin causes a decrease in Laurem,,Denoden causes Flembers,,Reading comprehension and made up words.,"With made up words, sentences do get confusing."
,Rebosen causes an increase in Themaglin,,Pneuben causes an increase in Efogen,Cellar causes a decrease in Agoriv,,,Turilin causes a decrease in Laurem,,Denoden causes Flembers,Grammar and consistence  of answers,
,Themaglin causes an increase in Rebosen,,Efogen causes an increase in Pneuben,,Ceflar causes a decrease in Agoriv,Turilin causes a decrease in Laurem,,"A third factor is causally related to Denoden and Flembers, they are not directly related",,I don't know and I think I did miserably.,
,Rebosen causes an increase in Themaglin,,Efogen causes an increase in Pneuben,Agoriv causes a decrease in Ceflar,,Turilin causes a decrease in Laurem,,Denoden causes Flembers,,I was to read the sentence and answer the question about rather or not the two things were related to one another. I guess it's perhaps study how people interpet the phrasing of words.,Enjoyed participating. Best wishes with your research.
Themaglin causes an increase in Rebosen,,Pneuben causes an increase in Efogen,,,Ceflar causes a decrease in Agoriv,,Laurem causes a decrease in Turilin,,Flembers causes Denoden,if i thought a phrase meant if one thing causes or does not cause the other,
,Rebosen causes an increase in Themaglin,Pneuben causes an increase in Efogen,,Agoriv causes a decrease in Ceflar,,Turilin causes a decrease in Laurem,,,"A third factor is causally related to Denoden and Flembers, they are not directly related",Describing the association between two things based on sentence structure ,
Themaglin causes an increase in Rebosen,,Pneuben causes an increase in Efogen,,Agoriv causes a decrease in Ceflar,,,Laurem causes a decrease in Turilin,,Flembers causes Denoden,"I was asked to determine how one thing was associated, or related, with/to another thing based on the wording and sequence of words in a sentence.",
Themaglin causes an increase in Rebosen,,"A third factor is causally related to Pneuben and Efogen, they are not directly related",,,Ceflar causes a decrease in Agoriv,,Laurem causes a decrease in Turilin,"A third factor is causally related to Denoden and Flembers, they are not directly related",,assessing how different phrasings affect interpretation,
,Rebosen causes an increase in Themaglin,"A third factor is causally related to Pneuben and Efogen, they are not directly related",,,"A third factor is causally related to Agoriv and Cellar, they are not directly related","A third factor is causally related to Turilin and Laurem, they are not directly related",,,Denoden causes Flembers,To determine how we perceive cause and effect. ,
,Rebosen causes an increase in Themaglin,Efogen causes an increase in Pneuben,,Agoriv causes a decrease in Ceflar,,,Laurem causes a decrease in Turilin,,Flembers causes Denoden,The way people read cause and correlation statements,
