,rt,stimulus,response,trial_type,trial_index,time_elapsed,internal_node_id,consent_response,consent_timestamp,task,response_text,response_type,condition,version,column_name,statement,choice_order,participant_id
2,13563,"
        <p>Before we begin, here is a practice question to familiarize you with the format.</p>
        <p>Suppose you read the following piece of information:</p>
        <p class=""trial-statement"">&ldquo;While Maria was typing her report, the phone rang.&rdquo;</p>
        <p class=""trial-question"">Which of the following is most likely?</p>
    ",1,html-button-response,2,28162,0.0-2.0,,,practice,Maria began her report first,correct,,,,,,z7maoatodd
3,16710,"
                    <p>Suppose you read the following piece of information:</p>
                    <p class=""trial-statement"">&ldquo;Rebosen is associated with a higher risk of Themaglin&rdquo;</p>
                    <p class=""trial-question"">Which of the following is most likely?</p>
                ",2,html-button-response,3,44878,0.0-3.0,,,causal_judgment,"A third factor is causally related to Rebosen and Themaglin, they are not directly related",neither,risk_increase,B,risk_increase_B,Rebosen is associated with a higher risk of Themaglin,"yx,xy,neither",z7maoatodd
4,13046,"
                    <p>Suppose you read the following piece of information:</p>
                    <p class=""trial-statement"">&ldquo;Agoriv is associated with a lower risk of Ceflar&rdquo;</p>
                    <p class=""trial-question"">Which of the following is most likely?</p>
                ",2,html-button-response,4,57929,0.0-4.0,,,causal_judgment,"A third factor is causally related to Agoriv and Ceflar, they are not directly related",neither,risk_lower,A,risk_lower_A,Agoriv is associated with a lower risk of Ceflar,"yx,xy,neither",z7maoatodd
5,3164,"
                    <p>Suppose you read the following piece of information:</p>
                    <p class=""trial-statement"">&ldquo;Efogen is associated with higher probability of Pneuben&rdquo;</p>
                    <p class=""trial-question"">Which of the following is most likely?</p>
                ",2,html-button-response,5,61095,0.0-5.0,,,causal_judgment,"A third factor is causally related to Efogen and Pneuben, they are not directly related",neither,prob_increase,B,prob_increase_B,Efogen is associated with higher probability of Pneuben,"yx,xy,neither",z7maoatodd
6,3560,"
                    <p>Suppose you read the following piece of information:</p>
                    <p class=""trial-statement"">&ldquo;Turilin is associated with lower probability of Laurem&rdquo;</p>
                    <p class=""trial-question"">Which of the following is most likely?</p>
                ",2,html-button-response,6,64659,0.0-6.0,,,causal_judgment,"A third factor is causally related to Turilin and Laurem, they are not directly related",neither,prob_lower,A,prob_lower_A,Turilin is associated with lower probability of Laurem,"yx,xy,neither",z7maoatodd
7,6927,"
                    <p>Suppose you read the following piece of information:</p>
                    <p class=""trial-statement"">&ldquo;Flembers is associated with Denoden&rdquo;</p>
                    <p class=""trial-question"">Which of the following is most likely?</p>
                ",2,html-button-response,7,71591,0.0-7.0,,,causal_judgment,"A third factor is causally related to Flembers and Denoden, they are not directly related",neither,assoc,B,assoc_B,Flembers is associated with Denoden,"yx,xy,neither",z7maoatodd
8,75257,,"{""explain"":""make decisions regarding the relationships of various made-up words""}",survey-text,8,146873,0.0-8.0,,,screening,,,,,,,,z7maoatodd
9,3369,,"{""comments"":""""}",survey-text,9,150252,0.0-9.0,,,comments,,,,,,,,z7maoatodd
10,13455,,"{""age"":""70"",""gender"":""male"",""native_language"":"""",""education"":""""}",survey-text,10,163720,0.0-10.0,,,demographics,,,,,,,,z7maoatodd
0,24062,"<div class=""consent-text""> <h2>Consent Agreement</h2> <p> Please read this consent agreement carefully before deciding whether to participate in this experiment. </p> <p> <strong>Description:</strong> You are invited to participate in a research study about language and language learning. The purpose of the research is to understand how people learn new words. This research will be conducted through the Prolific platform, including participants from the US, UK, and Canada. If you decide to participate in this research, you will learn and use new words. </p> <p> <strong>Time Involvement:</strong> The task will last the amount of time advertised on Prolific. You are free to withdraw from the study at any time. </p> <p> <strong>Risks and Benefits:</strong> Study data will be stored securely, in compliance with Stanford University standards, minimizing the risk of confiden-tiality breach. This study advances our scientific understanding of how people learn new languages. We cannot and do not guarantee or promise that you will receive any benefits from this study. </p> <p> <strong>Compensation:</strong> You will receive payment in the amount advertised on Prolific. If you do not complete this study, you will receive prorated payment based on the time that you have spent. Additionally, you may be eligible for bonus payments as described in the instructions. </p> <p> <strong>Participant's Rights:</strong> If you have read this form and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. The alternative is not to participate. You have the right to refuse to answer particular questions. The results of this research study may be presented at scientific or professional meetings or published in scientific journals. Your individual privacy will be maintained in all published and writ-ten data resulting from the study. In accordance with scientific norms, the data from this study may be used or shared with other researchers for future research (after removing personally identifying information) without additional consent from you. </p> <p> <strong>Contact Information:</strong> If you have any questions, concerns or complaints about this research, its procedures, risks and benefits, contact the Protocol Director, Robert Hawkins (<a href=""mailto:rdhawkins@stanford.edu"">rdhawkins@stanford.edu</a>, 217-549-6923). </p> <p> <strong>Independant Contact:</strong> If you are not satisfied with how this study is being conducted, or if you have any concerns, com-plaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at 650-723-2480 or toll free at 1-866-680-2906, or email at irbnonmed@stanford.edu. You can also write to the Stanford IRB, Stanford University, 1705 El Camino Real, Palo Alto, CA 94306. Please save or print a copy of this page for your records. </p> <p> <strong>If you agree to participate in this research, please click ""I agree""</strong> </p></br> </div>",0,html-button-response,0,24067,0.0-0.0,agree,2026-05-29T00:45:22.898Z,,,,,,,,,d20y1rp7vj
1,24686,"
                <h2>Welcome!</h2>
                <p>You will be asked a few simple questions about the possible relationship
                between different things. The questions are unrelated to one another.</p>
                <p>For each question, you will read a statement and choose the most likely
                interpretation from the options presented.</p>
                <p>Please respond thoughtfully.</p>
            ",0,html-button-response,1,48755,0.0-1.0,,,,,,,,,,,d20y1rp7vj
2,7184,"
        <p>Before we begin, here is a practice question to familiarize you with the format.</p>
        <p>Suppose you read the following piece of information:</p>
        <p class=""trial-statement"">&ldquo;While Maria was typing her report, the phone rang.&rdquo;</p>
        <p class=""trial-question"">Which of the following is most likely?</p>
    ",0,html-button-response,2,55941,0.0-2.0,,,practice,Maria began her report first,correct,,,,,,d20y1rp7vj
3,12282,"
                    <p>Suppose you read the following piece of information:</p>
                    <p class=""trial-statement"">&ldquo;Laurem is associated with lower probability of Turilin&rdquo;</p>
                    <p class=""trial-question"">Which of the following is most likely?</p>
                ",0,html-button-response,3,68223,0.0-3.0,,,causal_judgment,Laurem causes a decrease in Turilin,xy,prob_lower,B,prob_lower_B,Laurem is associated with lower probability of Turilin,"xy,yx,neither",d20y1rp7vj
4,42208,"
                    <p>Suppose you read the following piece of information:</p>
                    <p class=""trial-statement"">&ldquo;Themaglin is associated with a higher risk of Rebosen&rdquo;</p>
                    <p class=""trial-question"">Which of the following is most likely?</p>
                ",0,html-button-response,4,110434,0.0-4.0,,,causal_judgment,Themaglin causes an increase in Rebosen,xy,risk_increase,A,risk_increase_A,Themaglin is associated with a higher risk of Rebosen,"xy,yx,neither",d20y1rp7vj
5,62379,"
                    <p>Suppose you read the following piece of information:</p>
                    <p class=""trial-statement"">&ldquo;Efogen is associated with higher probability of Pneuben&rdquo;</p>
                    <p class=""trial-question"">Which of the following is most likely?</p>
                ",0,html-button-response,5,172814,0.0-5.0,,,causal_judgment,Efogen causes an increase in Pneuben,xy,prob_increase,B,prob_increase_B,Efogen is associated with higher probability of Pneuben,"xy,yx,neither",d20y1rp7vj
6,5520,"
                    <p>Suppose you read the following piece of information:</p>
                    <p class=""trial-statement"">&ldquo;Agoriv is associated with a lower risk of Ceflar&rdquo;</p>
                    <p class=""trial-question"">Which of the following is most likely?</p>
                ",0,html-button-response,6,178336,0.0-6.0,,,causal_judgment,Agoriv causes a decrease in Ceflar,xy,risk_lower,A,risk_lower_A,Agoriv is associated with a lower risk of Ceflar,"xy,yx,neither",d20y1rp7vj
7,6911,"
                    <p>Suppose you read the following piece of information:</p>
                    <p class=""trial-statement"">&ldquo;Flembers is associated with Denoden&rdquo;</p>
                    <p class=""trial-question"">Which of the following is most likely?</p>
                ",0,html-button-response,7,185248,0.0-7.0,,,causal_judgment,Flembers causes Denoden,xy,assoc,B,assoc_B,Flembers is associated with Denoden,"xy,yx,neither",d20y1rp7vj
8,22604,,"{""explain"":""Evaluate associations between words in sentences""}",survey-text,8,207869,0.0-8.0,,,screening,,,,,,,,d20y1rp7vj
9,4530,,"{""comments"":""n/a""}",survey-text,9,212413,0.0-9.0,,,comments,,,,,,,,d20y1rp7vj
10,17200,,"{""age"":""36"",""gender"":""male"",""native_language"":""English"",""education"":""Bachelor's degree""}",survey-text,10,229626,0.0-10.0,,,demographics,,,,,,,,d20y1rp7vj
0,21895,"<div class=""consent-text""> <h2>Consent Agreement</h2> <p> Please read this consent agreement carefully before deciding whether to participate in this experiment. </p> <p> <strong>Description:</strong> You are invited to participate in a research study about language and language learning. The purpose of the research is to understand how people learn new words. This research will be conducted through the Prolific platform, including participants from the US, UK, and Canada. If you decide to participate in this research, you will learn and use new words. </p> <p> <strong>Time Involvement:</strong> The task will last the amount of time advertised on Prolific. You are free to withdraw from the study at any time. </p> <p> <strong>Risks and Benefits:</strong> Study data will be stored securely, in compliance with Stanford University standards, minimizing the risk of confiden-tiality breach. This study advances our scientific understanding of how people learn new languages. We cannot and do not guarantee or promise that you will receive any benefits from this study. </p> <p> <strong>Compensation:</strong> You will receive payment in the amount advertised on Prolific. If you do not complete this study, you will receive prorated payment based on the time that you have spent. Additionally, you may be eligible for bonus payments as described in the instructions. </p> <p> <strong>Participant's Rights:</strong> If you have read this form and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. The alternative is not to participate. You have the right to refuse to answer particular questions. The results of this research study may be presented at scientific or professional meetings or published in scientific journals. Your individual privacy will be maintained in all published and writ-ten data resulting from the study. In accordance with scientific norms, the data from this study may be used or shared with other researchers for future research (after removing personally identifying information) without additional consent from you. </p> <p> <strong>Contact Information:</strong> If you have any questions, concerns or complaints about this research, its procedures, risks and benefits, contact the Protocol Director, Robert Hawkins (<a href=""mailto:rdhawkins@stanford.edu"">rdhawkins@stanford.edu</a>, 217-549-6923). </p> <p> <strong>Independant Contact:</strong> If you are not satisfied with how this study is being conducted, or if you have any concerns, com-plaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at 650-723-2480 or toll free at 1-866-680-2906, or email at irbnonmed@stanford.edu. You can also write to the Stanford IRB, Stanford University, 1705 El Camino Real, Palo Alto, CA 94306. Please save or print a copy of this page for your records. </p> <p> <strong>If you agree to participate in this research, please click ""I agree""</strong> </p></br> </div>",0,html-button-response,0,21902,0.0-0.0,agree,2026-05-29T00:45:31.700Z,,,,,,,,,xujow03f5x
1,9068,"
                <h2>Welcome!</h2>
                <p>You will be asked a few simple questions about the possible relationship
                between different things. The questions are unrelated to one another.</p>
                <p>For each question, you will read a statement and choose the most likely
                interpretation from the options presented.</p>
                <p>Please respond thoughtfully.</p>
            ",0,html-button-response,1,30971,0.0-1.0,,,,,,,,,,,xujow03f5x
2,18257,"
        <p>Before we begin, here is a practice question to familiarize you with the format.</p>
        <p>Suppose you read the following piece of information:</p>
        <p class=""trial-statement"">&ldquo;While Maria was typing her report, the phone rang.&rdquo;</p>
        <p class=""trial-question"">Which of the following is most likely?</p>
    ",0,html-button-response,2,49230,0.0-2.0,,,practice,Maria began her report first,correct,,,,,,xujow03f5x
3,22343,"
                    <p>Suppose you read the following piece of information:</p>
                    <p class=""trial-statement"">&ldquo;Pneuben is associated with higher probability of Efogen&rdquo;</p>
                    <p class=""trial-question"">Which of the following is most likely?</p>
                ",2,html-button-response,3,71576,0.0-3.0,,,causal_judgment,Efogen causes an increase in Pneuben,yx,prob_increase,A,prob_increase_A,Pneuben is associated with higher probability of Efogen,"neither,xy,yx",xujow03f5x
4,12481,"
                    <p>Suppose you read the following piece of information:</p>
                    <p class=""trial-statement"">&ldquo;Denoden is associated with Flembers&rdquo;</p>
                    <p class=""trial-question"">Which of the following is most likely?</p>
                ",2,html-button-response,4,84057,0.0-4.0,,,causal_judgment,Flembers causes Denoden,yx,assoc,A,assoc_A,Denoden is associated with Flembers,"neither,xy,yx",xujow03f5x
5,13293,"
                    <p>Suppose you read the following piece of information:</p>
                    <p class=""trial-statement"">&ldquo;Themaglin is associated with a higher risk of Rebosen&rdquo;</p>
                    <p class=""trial-question"">Which of the following is most likely?</p>
                ",2,html-button-response,5,97352,0.0-5.0,,,causal_judgment,Rebosen causes an increase in Themaglin,yx,risk_increase,A,risk_increase_A,Themaglin is associated with a higher risk of Rebosen,"neither,xy,yx",xujow03f5x
6,13425,"
                    <p>Suppose you read the following piece of information:</p>
                    <p class=""trial-statement"">&ldquo;Ceflar is associated with a lower risk of Agoriv&rdquo;</p>
                    <p class=""trial-question"">Which of the following is most likely?</p>
                ",2,html-button-response,6,110777,0.0-6.0,,,causal_judgment,Agoriv causes a decrease in Ceflar,yx,risk_lower,B,risk_lower_B,Ceflar is associated with a lower risk of Agoriv,"neither,xy,yx",xujow03f5x
7,13196,"
                    <p>Suppose you read the following piece of information:</p>
                    <p class=""trial-statement"">&ldquo;Laurem is associated with lower probability of Turilin&rdquo;</p>
                    <p class=""trial-question"">Which of the following is most likely?</p>
                ",2,html-button-response,7,123974,0.0-7.0,,,causal_judgment,Turilin causes a decrease in Laurem,yx,prob_lower,B,prob_lower_B,Laurem is associated with lower probability of Turilin,"neither,xy,yx",xujow03f5x
8,32676,,"{""explain"":""I was asked to look at unrelated sentences and how the words relate to each other.""}",survey-text,8,156664,0.0-8.0,,,screening,,,,,,,,xujow03f5x
9,1379,,"{""comments"":""""}",survey-text,9,158046,0.0-9.0,,,comments,,,,,,,,xujow03f5x
10,11438,,"{""age"":""21"",""gender"":""Male"",""native_language"":""English"",""education"":""""}",survey-text,10,169516,0.0-10.0,,,demographics,,,,,,,,xujow03f5x
0,17724,"<div class=""consent-text""> <h2>Consent Agreement</h2> <p> Please read this consent agreement carefully before deciding whether to participate in this experiment. </p> <p> <strong>Description:</strong> You are invited to participate in a research study about language and language learning. The purpose of the research is to understand how people learn new words. This research will be conducted through the Prolific platform, including participants from the US, UK, and Canada. If you decide to participate in this research, you will learn and use new words. </p> <p> <strong>Time Involvement:</strong> The task will last the amount of time advertised on Prolific. You are free to withdraw from the study at any time. </p> <p> <strong>Risks and Benefits:</strong> Study data will be stored securely, in compliance with Stanford University standards, minimizing the risk of confiden-tiality breach. This study advances our scientific understanding of how people learn new languages. We cannot and do not guarantee or promise that you will receive any benefits from this study. </p> <p> <strong>Compensation:</strong> You will receive payment in the amount advertised on Prolific. If you do not complete this study, you will receive prorated payment based on the time that you have spent. Additionally, you may be eligible for bonus payments as described in the instructions. </p> <p> <strong>Participant's Rights:</strong> If you have read this form and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. The alternative is not to participate. You have the right to refuse to answer particular questions. The results of this research study may be presented at scientific or professional meetings or published in scientific journals. Your individual privacy will be maintained in all published and writ-ten data resulting from the study. In accordance with scientific norms, the data from this study may be used or shared with other researchers for future research (after removing personally identifying information) without additional consent from you. </p> <p> <strong>Contact Information:</strong> If you have any questions, concerns or complaints about this research, its procedures, risks and benefits, contact the Protocol Director, Robert Hawkins (<a href=""mailto:rdhawkins@stanford.edu"">rdhawkins@stanford.edu</a>, 217-549-6923). </p> <p> <strong>Independant Contact:</strong> If you are not satisfied with how this study is being conducted, or if you have any concerns, com-plaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at 650-723-2480 or toll free at 1-866-680-2906, or email at irbnonmed@stanford.edu. You can also write to the Stanford IRB, Stanford University, 1705 El Camino Real, Palo Alto, CA 94306. Please save or print a copy of this page for your records. </p> <p> <strong>If you agree to participate in this research, please click ""I agree""</strong> </p></br> </div>",0,html-button-response,0,17725,0.0-0.0,agree,2026-05-29T00:47:26.870Z,,,,,,,,,uax204vubm
1,3188,"
                <h2>Welcome!</h2>
                <p>You will be asked a few simple questions about the possible relationship
                between different things. The questions are unrelated to one another.</p>
                <p>For each question, you will read a statement and choose the most likely
                interpretation from the options presented.</p>
                <p>Please respond thoughtfully.</p>
            ",0,html-button-response,1,20914,0.0-1.0,,,,,,,,,,,uax204vubm
2,8044,"
        <p>Before we begin, here is a practice question to familiarize you with the format.</p>
        <p>Suppose you read the following piece of information:</p>
        <p class=""trial-statement"">&ldquo;While Maria was typing her report, the phone rang.&rdquo;</p>
        <p class=""trial-question"">Which of the following is most likely?</p>
    ",0,html-button-response,2,28960,0.0-2.0,,,practice,Maria began her report first,correct,,,,,,uax204vubm
3,29472,"
                    <p>Suppose you read the following piece of information:</p>
                    <p class=""trial-statement"">&ldquo;Themaglin is associated with a higher risk of Rebosen&rdquo;</p>
                    <p class=""trial-question"">Which of the following is most likely?</p>
                ",0,html-button-response,3,58433,0.0-3.0,,,causal_judgment,Themaglin causes an increase in Rebosen,xy,risk_increase,A,risk_increase_A,Themaglin is associated with a higher risk of Rebosen,"xy,neither,yx",uax204vubm
4,26235,"
                    <p>Suppose you read the following piece of information:</p>
                    <p class=""trial-statement"">&ldquo;Agoriv is associated with a lower risk of Ceflar&rdquo;</p>
                    <p class=""trial-question"">Which of the following is most likely?</p>
                ",0,html-button-response,4,84669,0.0-4.0,,,causal_judgment,Agoriv causes a decrease in Ceflar,xy,risk_lower,A,risk_lower_A,Agoriv is associated with a lower risk of Ceflar,"xy,neither,yx",uax204vubm
5,11737,"
                    <p>Suppose you read the following piece of information:</p>
                    <p class=""trial-statement"">&ldquo;Flembers is associated with Denoden&rdquo;</p>
                    <p class=""trial-question"">Which of the following is most likely?</p>
                ",0,html-button-response,5,96408,0.0-5.0,,,causal_judgment,Flembers causes Denoden,xy,assoc,B,assoc_B,Flembers is associated with Denoden,"xy,neither,yx",uax204vubm
6,11302,"
                    <p>Suppose you read the following piece of information:</p>
                    <p class=""trial-statement"">&ldquo;Laurem is associated with lower probability of Turilin&rdquo;</p>
                    <p class=""trial-question"">Which of the following is most likely?</p>
                ",0,html-button-response,6,107712,0.0-6.0,,,causal_judgment,Laurem causes a decrease in Turilin,xy,prob_lower,B,prob_lower_B,Laurem is associated with lower probability of Turilin,"xy,neither,yx",uax204vubm
7,10911,"
                    <p>Suppose you read the following piece of information:</p>
                    <p class=""trial-statement"">&ldquo;Efogen is associated with higher probability of Pneuben&rdquo;</p>
                    <p class=""trial-question"">Which of the following is most likely?</p>
                ",2,html-button-response,7,118624,0.0-7.0,,,causal_judgment,Pneuben causes an increase in Efogen,yx,prob_increase,B,prob_increase_B,Efogen is associated with higher probability of Pneuben,"xy,neither,yx",uax204vubm
8,19224,,"{""explain"":""How wording affects how people contextualize causation. ""}",survey-text,8,137855,0.0-8.0,,,screening,,,,,,,,uax204vubm
9,2456,,"{""comments"":""""}",survey-text,9,140314,0.0-9.0,,,comments,,,,,,,,uax204vubm
10,11392,,"{""age"":""33"",""gender"":""Male"",""native_language"":""English "",""education"":""Masters ""}",survey-text,10,151711,0.0-10.0,,,demographics,,,,,,,,uax204vubm
